Concelho;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Paredes;0;92;23;45;41;6;0;0;0;0;0;0;0;0;0;0;834;615;1150;730;776;747;777;1045;484;1041;563;324;224;689;779
Paredes de Coura;3;45;10;29;71;17;5;163;68;877;377;354;421;637;442;996;106;105;84;39;45;124;89;55;91;88;72;92;29;96;175
Pedrógão Grande;6;0;23;23;12;100;34;13;7;22;4;26;35;33;60;60;27;23;16;29;25;25;19;28;25;95;13;15;16;26;14
Penacova;1;3;13;10;21;43;29;14;12;9;30;62;39;41;37;65;25;19;30;60;22;39;35;18;18;65;32;25;28;34;56
Penafiel;48;67;13;8;64;12;0;74;23;337;168;213;235;326;323;820;605;455;743;421;852;582;642;641;408;828;371;367;215;744;645
Penalva do Castelo;11;70;32;25;43;49;52;26;27;46;56;26;44;39;119;119;50;53;128;106;53;59;35;40;31;45;20;20;19;31;16
Penamacor;1;0;8;1;21;51;41;0;91;37;66;77;0;36;81;90;59;56;82;102;74;43;42;30;30;46;32;26;30;34;22
Penedono;8;1;9;28;49;32;13;10;48;50;23;19;29;37;101;57;65;42;72;23;88;25;28;45;53;62;6;28;27;23;17
Penela;1;1;10;16;11;27;32;23;11;28;12;28;42;13;19;41;13;13;18;17;15;27;8;13;14;20;13;11;15;15;12
Peniche;0;6;5;4;12;0;0;0;3;72;0;2;0;0;2;40;54;40;59;82;77;61;30;23;39;35;23;32;34;47;22
Peso da Régua;2;35;0;0;10;21;14;23;17;29;18;18;22;22;57;128;85;83;138;84;136;91;116;52;72;136;62;58;31;80;43
Pinhel;1;29;11;23;82;78;11;26;32;82;77;74;34;47;182;107;108;138;152;130;120;87;60;84;50;58;33;111;60;106;73
Pombal;10;87;101;37;99;175;178;90;43;147;12;138;286;161;189;232;126;78;82;85;130;107;196;174;136;263;139;80;72;57;58
Ponte da Barca;2;0;18;0;41;9;5;34;33;124;25;40;67;36;81;213;174;166;171;115;217;128;256;69;108;239;107;146;65;251;258
Ponte de Lima;11;302;44;27;131;44;18;91;29;304;126;92;96;210;93;293;286;315;396;224;304;285;474;196;320;422;174;206;68;324;376
Ponte de Sôr;0;28;12;2;7;0;6;1;0;0;0;0;21;1;59;51;30;15;17;18;32;10;22;14;22;20;16;23;11;10;4
Portalegre;1;0;10;5;42;65;50;0;0;0;0;0;9;7;44;30;14;33;9;6;13;10;12;13;7;13;8;17;18;16;11
Portel;4;3;4;0;0;0;1;0;0;0;0;0;2;0;18;5;15;5;0;0;3;9;7;7;4;10;18;6;7;4;1
Portimão;0;4;4;3;3;11;17;9;10;2;14;51;57;26;29;25;14;10;10;34;11;5;13;13;10;18;52;40;28;38;32
Porto;0;0;0;0;0;0;0;73;21;81;67;79;14;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
